timestamp,type,satisfaction,failed,date_failed
7/25/2025 10:30,Medtronic MiniMed (600/700 series),2,No,NA
7/25/2025 10:33,Omnipod DASH,4,Yes,7/24/2025
7/25/2025 10:35,Omnipod DASH,5,Yes,7/6/2025
7/25/2025 10:28,Medtronic MiniMed (600/700 series),3,No,NA
7/25/2025 10:30,Medtronic MiniMed (600/700 series),2,No,NA
7/25/2025 10:32,Medtronic MiniMed (600/700 series),1,Yes,7/20/2025
7/25/2025 10:27,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:32,Medtronic MiniMed (600/700 series),4,No,NA
7/25/2025 10:32,Tandem t:slim X2,1,No,NA
7/25/2025 10:33,Medtronic MiniMed (600/700 series),3,Yes,6/29/2025
7/25/2025 10:35,Omnipod 5,4,No,NA
7/25/2025 10:34,Medtronic MiniMed (600/700 series),2,Yes,7/11/2025
7/25/2025 10:36,Other (please specify): Loop DIY,5,No,NA
7/25/2025 10:31,Omnipod 5,4,No,NA
7/25/2025 10:30,Omnipod DASH,4,Yes,7/16/2025
7/25/2025 10:36,Omnipod 5,1,No,NA
7/25/2025 10:39,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:39,Other (please specify): Loop DIY,2,No,NA
7/25/2025 10:36,Tandem t:slim X2,4,Yes,6/29/2025
7/25/2025 10:33,Omnipod 5,5,No,NA
7/25/2025 10:37,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:34,Omnipod 5,2,No,NA
7/25/2025 10:39,Omnipod 5,2,No,NA
7/25/2025 10:33,Omnipod DASH,5,No,NA
7/25/2025 10:29,Omnipod 5,4,Yes,6/29/2025
7/25/2025 10:33,Omnipod 5,5,No,NA
7/25/2025 10:33,Omnipod 5,1,No,NA
7/25/2025 10:33,Omnipod DASH,2,Yes,7/10/2025
7/25/2025 10:41,Medtronic MiniMed (600/700 series),2,Yes,7/20/2025
7/25/2025 10:42,Medtronic MiniMed (600/700 series),1,No,NA
7/25/2025 10:32,Omnipod 5,3,No,NA
7/25/2025 10:43,Omnipod 5,2,No,NA
7/25/2025 10:43,Omnipod DASH,2,Yes,7/21/2025
7/25/2025 10:37,Omnipod 5,2,No,NA
7/25/2025 10:39,Omnipod 5,1,Yes,7/14/2025
7/25/2025 10:38,Medtronic MiniMed (600/700 series),4,No,NA
7/25/2025 10:38,Omnipod DASH,4,No,NA
7/25/2025 10:44,Omnipod DASH,4,Yes,7/2/2025
7/25/2025 10:35,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:30,Medtronic MiniMed (600/700 series),1,Yes,7/15/2025
7/25/2025 10:35,Tandem t:slim X2,1,No,NA
7/25/2025 10:37,Tandem t:slim X2,1,No,NA
